Event_Name,Event_URL,Timezone,Event_Start_time,Event_organizer_id,Venue_ID,Event_Format_id
Thanksgiving for Paso Robles November 23 | Volunteer & Donate,https://www.eventbrite.com/e/thanksgiving-for-paso-robles-november-23-volunteer-donate-registration-38742862946?aff=ebapi,America/Los_Angeles,2017-11-20T21:00:00Z,11324048317,16554636,1
Macy's Thanksgiving Day Parade 2017 American Brunch with GUARANTEED Views of the Parade from our Private Terrace,https://www.eventbrite.com/e/macys-thanksgiving-day-parade-2017-american-brunch-with-guaranteed-views-of-the-parade-from-our-tickets-36592531246?aff=ebapi,America/New_York,2017-11-23T12:45:00Z,12429228803,21273177,1
Thanksgiving Centerpiece,https://www.eventbrite.com/e/thanksgiving-centerpiece-tickets-39304040443?aff=ebapi,America/Los_Angeles,2017-11-21T02:30:00Z,15100981063,21337121,1
Thanksgiving Dinner,https://www.eventbrite.com/e/thanksgiving-dinner-tickets-39093899907?aff=ebapi,Europe/Paris,2017-11-25T18:30:00Z,15496920372,21719528,1
Thanksgiving 2017!,https://www.eventbrite.com/e/thanksgiving-2017-tickets-37390493974?aff=ebapi,America/Chicago,2017-11-23T21:00:00Z,14962703851,20901025,1
Thanksgiving Dinner,https://www.eventbrite.com/e/thanksgiving-dinner-tickets-39475319744?aff=ebapi,America/New_York,2017-11-23T20:00:00Z,15038470531,21196077,1
Thanksgiving Centerpiece,https://www.eventbrite.com/e/thanksgiving-centerpiece-registration-36444424254?aff=ebapi,America/New_York,2017-11-19T18:00:00Z,9793263309,13310526,1
Thanksgiving Luncheon,https://www.eventbrite.com/e/thanksgiving-luncheon-tickets-39740079648?aff=ebapi,America/New_York,2017-11-23T17:00:00Z,15710062999,22029310,1
Thanksgiving Dinner,https://www.eventbrite.com/e/thanksgiving-dinner-tickets-39773460491?aff=ebapi,America/New_York,2017-11-23T22:00:00Z,15717360728,22040365,1
Thanksgiving Drive,https://www.eventbrite.com/e/thanksgiving-drive-tickets-39802347894?aff=ebapi,America/Chicago,2017-11-14T02:00:00Z,15733092082,22057128,1
Thanksgiving Open Barn,https://www.eventbrite.com/e/thanksgiving-open-barn-tickets-38505417741?aff=ebapi,America/New_York,2017-11-19T16:00:00Z,15309312244,21422867,1
2017 Vegan Thanksgiving Feast,https://www.eventbrite.com/e/2017-vegan-thanksgiving-feast-tickets-37592836185?aff=ebapi,America/Chicago,2017-11-23T17:00:00Z,3902712081,20989161,1
Thanksgiving Feast at The Alfond Inn ,https://www.eventbrite.com/e/thanksgiving-feast-at-the-alfond-inn-tickets-38665110386?aff=ebapi,America/New_York,2017-11-23T18:00:00Z,8352303708,12078838,1
Thanksgiving Feast at The Alfond Inn ,https://www.eventbrite.com/e/thanksgiving-feast-at-the-alfond-inn-tickets-38665111389?aff=ebapi,America/New_York,2017-11-23T21:00:00Z,8352303708,12078838,1
2017 Great Thanksgiving Banquet,https://www.eventbrite.com/e/2017-great-thanksgiving-banquet-tickets-39467238573?aff=ebapi,America/Los_Angeles,2017-11-22T19:00:00Z,10603513635,15861572,1
International Thanksgiving 2017,https://www.eventbrite.com/e/international-thanksgiving-2017-tickets-39129402095?aff=ebapi,America/New_York,2017-11-19T23:00:00Z,1116522327,998411,1
Thanksgiving Parade in Downtown Houston,https://www.eventbrite.com/e/thanksgiving-parade-in-downtown-houston-tickets-39726267335?aff=ebapi,America/Chicago,2017-11-23T15:00:00Z,15705972565,22021277,1
CAIF Thanksgiving Dinner,https://www.eventbrite.com/e/caif-thanksgiving-dinner-tickets-39343858540?aff=ebapi,America/New_York,2017-11-16T23:00:00Z,11875187473,16969912,1
Forerunners Thanksgiving Dinner,https://www.eventbrite.com/e/forerunners-thanksgiving-dinner-tickets-39690817303?aff=ebapi,America/Denver,2017-11-18T23:00:00Z,3205029250,22003021,1
Thanksgiving Brunch at Taj Boston,https://www.eventbrite.com/e/thanksgiving-brunch-at-taj-boston-tickets-38599495129?aff=ebapi,America/New_York,2017-11-23T19:00:00Z,13155514462,18720852,1
Veterans Thanksgiving Appreciation Dinner,https://www.eventbrite.com/e/veterans-thanksgiving-appreciation-dinner-tickets-39565885629?aff=ebapi,America/Los_Angeles,2017-11-21T22:30:00Z,4495144279,21942933,1
Thanksgiving Brunch at Taj Boston,https://www.eventbrite.com/e/thanksgiving-brunch-at-taj-boston-tickets-38599496132?aff=ebapi,America/New_York,2017-11-23T19:30:00Z,13155514462,18720852,1
Community Interfaith Thanksgiving Dinner,https://www.eventbrite.com/e/community-interfaith-thanksgiving-dinner-tickets-39190734542?aff=ebapi,America/New_York,2017-11-20T23:00:00Z,10852238607,21803290,1
Thanksgiving Day at the USO!,https://www.eventbrite.com/e/thanksgiving-day-at-the-uso-tickets-32160313363?aff=ebapi,America/Chicago,2017-11-23T18:00:00Z,12940209806,18396145,1
Thanksgiving Buffet 2017,https://www.eventbrite.com/e/thanksgiving-buffet-2017-tickets-39718333605?aff=ebapi,America/New_York,2017-11-23T17:00:00Z,2982604097,12172256,1
IEEE Thanksgiving Dinner Potluck,https://www.eventbrite.com/e/ieee-thanksgiving-dinner-potluck-tickets-39469557509?aff=ebapi,America/Chicago,2017-11-18T23:00:00Z,9785199253,18012384,1
Community Thanksgiving Celebration,https://www.eventbrite.com/e/community-thanksgiving-celebration-tickets-39161556269?aff=ebapi,America/New_York,2017-11-19T16:15:00Z,15523868699,21747713,1
Thanksgiving  Goat Yoga,https://www.eventbrite.com/e/thanksgiving-goat-yoga-tickets-39662138524?aff=ebapi,America/Phoenix,2017-11-22T16:30:00Z,12983778668,19038385,1
Thanksgiving Eve Party,https://www.eventbrite.com/e/thanksgiving-eve-party-tickets-39056705658?aff=ebapi,America/New_York,2017-11-22T23:00:00Z,6763508451,19846668,1
Come Together With Us For Thanksgiving,https://www.eventbrite.com/e/come-together-with-us-for-thanksgiving-tickets-38184876995?aff=ebapi,America/Tijuana,2017-11-23T21:00:00Z,15159862367,21292242,1
Thanksgiving Eve Throwdown,https://www.eventbrite.com/e/thanksgiving-eve-throwdown-tickets-39754137696?aff=ebapi,America/Los_Angeles,2017-11-23T05:00:00Z,1329450463,11091215,1
Annual Thanksgiving Potluck,https://www.eventbrite.com/e/annual-thanksgiving-potluck-tickets-39831708713?aff=ebapi,America/Chicago,2017-11-20T17:30:00Z,9369004139,22071727,1
 THANKSGIVING DAY COMMUNITY DINNER,https://www.eventbrite.com/e/thanksgiving-day-community-dinner-tickets-39241279724?aff=ebapi,America/New_York,2017-11-22T23:00:00Z,3844092597,21792166,1
Thanksgiving Brunch at Taj Boston,https://www.eventbrite.com/e/thanksgiving-brunch-at-taj-boston-tickets-38599494126?aff=ebapi,America/New_York,2017-11-23T16:30:00Z,13155514462,18720852,1
UBE Thanksgiving Unity Dinner,https://www.eventbrite.com/e/ube-thanksgiving-unity-dinner-tickets-39173795878?aff=ebapi,America/Chicago,2017-11-19T21:00:00Z,6351570933,15836877,1
Thanksgiving Prix Fixe Dinner,https://www.eventbrite.com/e/thanksgiving-prix-fixe-dinner-tickets-38885517630?aff=ebapi,Pacific/Honolulu,2017-11-24T03:00:00Z,14832213770,21632490,1
Grandparents Thanksgiving Lunch,https://www.eventbrite.com/e/grandparents-thanksgiving-lunch-tickets-39658993116?aff=ebapi,America/New_York,2017-11-17T15:30:00Z,15233078316,21987033,1
KWIR Thanksgiving Feast,https://www.eventbrite.com/e/kwir-thanksgiving-feast-tickets-39089914988?aff=ebapi,America/Chicago,2017-11-15T17:30:00Z,7515509869,19811046,1
Urban Farmer Thanksgiving Curbside,https://www.eventbrite.com/e/urban-farmer-thanksgiving-curbside-tickets-38662521643?aff=ebapi,America/New_York,2017-11-23T15:30:00Z,12859817975,18274454,1
Free Thanksgiving Meal Delivery,https://www.eventbrite.com/e/free-thanksgiving-meal-delivery-tickets-39815261519?aff=ebapi,America/New_York,2017-11-19T22:00:00Z,9870286725,None,1
ASB Thanksgiving Dinner,https://www.eventbrite.com/e/asb-thanksgiving-dinner-tickets-38851575107?aff=ebapi,Europe/Madrid,2017-11-23T19:00:00Z,1706033218,17295519,1
Thanksgiving Brunch at Taj Boston,https://www.eventbrite.com/e/thanksgiving-brunch-at-taj-boston-tickets-38599493123?aff=ebapi,America/New_York,2017-11-23T16:00:00Z,13155514462,18720852,1
Giving Back On Thanksgiving 2017 ,https://www.eventbrite.com/e/giving-back-on-thanksgiving-2017-tickets-39503714674?aff=ebapi,America/Detroit,2017-11-18T13:00:00Z,15631968135,21908806,1
Thanksgiving Centerpiece Workshop ,https://www.eventbrite.com/e/thanksgiving-centerpiece-workshop-tickets-37909449183?aff=ebapi,America/Detroit,2017-11-21T23:00:00Z,9457792336,21150021,1
Master of None "Thanksgiving" Screening,https://www.eventbrite.com/e/master-of-none-thanksgiving-screening-tickets-38245462207?aff=ebapi,America/New_York,2017-11-15T17:00:00Z,15234716705,21312514,1
Wine+Design THANKSGIVING INSPIRATION,https://www.eventbrite.com/e/winedesign-thanksgiving-inspiration-tickets-39065828946?aff=ebapi,America/Detroit,2017-11-17T00:00:00Z,15489360823,21707373,1
PCAA Presents; Thanksgiving in the City ,https://www.eventbrite.com/e/pcaa-presents-thanksgiving-in-the-city-tickets-38554640969?aff=ebapi,America/New_York,2017-11-26T01:30:00Z,912268489,21700058,1
Early Thanksgiving Dinner 2017,https://www.eventbrite.com/e/early-thanksgiving-dinner-2017-tickets-39566623837?aff=ebapi,America/Denver,2017-11-18T01:30:00Z,7736931043,21943164,1
Free Thanksgiving Dinner at the GIC,https://www.eventbrite.com/e/free-thanksgiving-dinner-at-the-gic-registration-39530473711?aff=ebapi,America/Denver,2017-11-23T19:00:00Z,15258804145,21923836,1
